Party,Wingness,LGBT,BLM,Feminism,Paternal Age,Leftism,Age
Democratic,Left-wing,1,1,1,22,1,39.0
Libertarian,Left-wing,1,1,1,30,1,52.0
Republican,Right-wing,0,0,0,27,0,53.0
Democratic,Right-wing,1,1,1,23,1,30.0
Democratic,Left-wing,1,1,1,35,1,24.0
Democratic,Left-wing,1,1,1,38,1,32.0
Democratic,Left-wing,1,1,1,25,1,52.0
Democratic,Left-wing,1,1,1,22,1,67.0
Independent,Centrist,1,0,1,29,0,60.0
Libertarian,Left-wing,1,1,1,25,1,25.0
Independent,Left-wing,1,1,1,31,1,34.0
Democratic,Left-wing,1,1,1,35,1,37.0
Democratic,Left-wing,1,0,1,26,0,35.0
Independent,Centrist,0,0,1,45,0,51.0
Republican,Left-wing,1,1,1,28,1,20.0
Republican,Right-wing,0,0,0,24,0,54.0
Independent,Centrist,1,1,1,37,1,58.0
Democratic,Left-wing,1,1,1,25,1,31.0
Democratic,Left-wing,1,1,1,26,1,37.0
Independent,Centrist,1,1,1,25,1,56.0
Independent,Left-wing,1,0,1,31,0,70.0
Democratic,Left-wing,1,1,1,25,1,41.0
Democratic,Left-wing,1,1,1,30,1,66.0
Independent,Left-wing,1,1,1,21,1,66.0
Democratic,Left-wing,1,1,1,24,1,33.0
Independent,Centrist,1,1,1,22,1,56.0
Democratic,Left-wing,1,1,1,37,1,24.0
Independent,Centrist,1,0,1,22,0,20.0
Republican,Right-wing,0,0,0,30,0,28.0
Democratic,Left-wing,1,1,1,23,1,62.0
Independent,Centrist,1,1,1,34,1,29.0
Republican,Right-wing,0,0,0,28,0,33.0
Democratic,Left-wing,1,1,1,26,1,73.0
Independent,Centrist,1,0,1,32,0,40.0
Unaffiliated,Centrist,0,0,0,20,0,33.0
I don't like any of them,Left-wing,1,1,1,26,1,40.0
Independent,Left-wing,1,0,1,34,0,26.0
Republican,Right-wing,0,0,0,18,0,79.0
Independent,Right-wing,0,0,0,46,0,41.0
Democratic,Left-wing,1,0,1,27,0,25.0
Independent,Centrist,1,0,1,29,0,53.0
Democratic,Left-wing,1,1,1,23,1,53.0
