Party,Wingness,LGBT,BLM,Feminism,Paternal Age,Leftism,Age
Democratic,Left-wing,1,1,1,42,1,55.0
Independent,Centrist,1,0,1,28,0,36.0
Independent,Centrist,1,1,1,32,1,21.0
Democratic,Left-wing,1,1,1,38,1,22.0
Democratic,Centrist,1,0,1,41,0,35.0
Independent,Left-wing,1,1,1,20,1,52.0
Republican,Right-wing,0,0,0,28,0,37.0
Democratic,Left-wing,1,1,1,19,1,68.0
Democratic,Left-wing,1,1,1,33,1,58.0
Independent,Left-wing,1,0,1,31,0,27.0
Independent,Centrist,1,0,1,30,0,28.0
Democratic,Left-wing,1,1,1,35,1,29.0
Democratic,Centrist,0,1,0,59,0,58.0
,Centrist,1,1,1,35,1,30.0
Independent,Centrist,1,1,1,25,1,36.0
Democratic,Left-wing,1,1,1,32,1,70.0
Republican,Right-wing,0,0,0,29,0,28.0
Republican,Right-wing,0,0,1,41,0,42.0
Democratic,Left-wing,1,1,1,48,1,40.0
Democratic,Left-wing,1,1,1,30,1,24.0
Independent,Left-wing,1,0,0,35,0,34.0
Independent,Right-wing,0,0,1,31,0,75.0
Independent,Centrist,0,0,1,26,0,33.0
Independent,Left-wing,1,1,1,33,1,25.0
Democratic,Left-wing,1,1,1,28,1,45.0
Democratic,Left-wing,1,1,1,32,1,30.0
Democratic,Left-wing,1,0,1,31,0,21.0
Democratic,Left-wing,1,1,1,19,1,31.0
Democratic,Left-wing,1,1,1,38,1,26.0
Independent,Centrist,1,1,1,29,1,45.0
Democratic,Left-wing,1,1,1,24,1,35.0
Independent,Centrist,1,0,1,23,0,61.0
Democratic,Left-wing,1,1,1,25,1,49.0
Democratic,Left-wing,1,1,1,35,1,30.0
Democratic,Left-wing,1,1,1,24,1,74.0
Independent,Left-wing,1,1,1,30,1,26.0
Republican,Right-wing,0,1,1,31,0,21.0
Democratic,Left-wing,0,1,0,25,0,49.0
Independent,Centrist,1,1,1,22,1,21.0
bi partisan,Centrist,1,1,0,39,0,71.0
Democratic,Centrist,1,0,1,42,0,51.0
Independent,Centrist,1,1,1,28,1,29.0
Republican,Centrist,0,0,0,28,0,40.0
Democratic,Left-wing,1,1,1,24,1,31.0
Republican,Right-wing,0,0,0,38,0,49.0
Republican,Right-wing,1,0,1,25,0,45.0
Republican,Right-wing,1,0,0,32,0,28.0
Democratic,Left-wing,1,1,1,35,1,24.0
Republican,Right-wing,0,0,0,25,0,36.0
Democratic,Left-wing,1,1,1,29,1,27.0
Democratic,Left-wing,1,1,1,38,1,21.0
Democratic,Left-wing,1,1,1,31,1,23.0
Republican,Centrist,1,1,1,24,1,63.0
Independent,Centrist,1,1,1,40,1,25.0
Independent,Centrist,1,0,1,33,0,33.0
Independent,Centrist,1,1,1,35,1,71.0
Libertarian,Centrist,1,0,1,35,0,29.0
Democratic,Left-wing,1,1,1,27,1,28.0
Democratic,Left-wing,1,1,1,36,1,29.0
Democratic,Left-wing,1,1,1,24,1,74.0
Republican,Right-wing,0,0,1,27,0,60.0
Republican,Right-wing,1,1,1,23,1,25.0
Independent,Left-wing,1,1,1,32,1,30.0
Democratic,Left-wing,1,1,1,32,1,46.0
Independent,Centrist,1,0,0,26,0,45.0
Democratic,Left-wing,1,1,1,29,1,22.0
Republican,Right-wing,0,0,0,33,0,24.0
Democratic,Right-wing,1,1,1,20,1,44.0
Democratic,Left-wing,1,1,1,45,1,24.0
Democratic,Centrist,0,0,0,42,0,45.0
Democratic,Centrist,1,1,1,39,1,24.0
Democratic,Left-wing,1,1,1,24,1,44.0
Democratic,Left-wing,1,1,1,34,1,42.0
Democratic,Centrist,1,0,1,40,0,27.0
Independent,Left-wing,1,1,1,27,1,36.0
Republican,Right-wing,0,0,0,28,0,61.0
Democratic,Centrist,1,1,1,33,1,34.0
Democratic,Left-wing,1,1,1,30,1,42.0
Democratic,Left-wing,1,1,1,26,1,56.0
Democratic,Left-wing,1,1,1,30,1,43.0
Democratic,Left-wing,1,0,0,25,0,42.0
Democratic,Left-wing,1,1,1,30,1,26.0
Democratic,Left-wing,1,1,1,30,1,68.0
Independent,Centrist,1,0,1,29,0,41.0
Democratic,Left-wing,1,0,1,38,0,32.0
Democratic,Left-wing,0,1,1,36,0,72.0
Democratic,Left-wing,1,1,1,28,1,24.0
Democratic,Left-wing,1,1,1,50,1,52.0
Democratic,Left-wing,1,1,1,46,1,25.0
Republican,Centrist,1,1,0,24,0,21.0
Democratic,Left-wing,1,1,1,34,1,34.0
Republican,Centrist,1,0,0,34,0,67.0
Independent,Left-wing,1,1,1,25,1,44.0
Democratic,Left-wing,1,1,1,30,1,62.0
Republican,Right-wing,1,0,0,23,0,52.0
Democratic,Centrist,1,0,0,39,0,35.0
Independent,Centrist,1,1,1,22,1,53.0
Democratic,Left-wing,1,1,1,35,1,24.0
Independent,Centrist,1,1,1,34,1,26.0
Democratic,Left-wing,1,1,1,32,1,26.0
Democratic,Left-wing,1,1,1,28,1,22.0
Republican,Right-wing,0,0,0,31,0,78.0
Democratic,Left-wing,1,1,1,34,1,60.0
Democratic,Left-wing,1,1,1,38,1,42.0
Democratic,Left-wing,1,1,1,28,1,73.0
Independent,Left-wing,1,1,1,32,1,23.0
Democratic,Left-wing,1,1,1,34,1,28.0
Democratic,Left-wing,1,0,1,18,0,33.0
Democratic,Left-wing,1,1,1,38,1,33.0
Independent,Centrist,1,1,1,35,1,38.0
Republican,Right-wing,0,1,0,25,0,46.0
Republican,Centrist,1,0,1,30,0,34.0
Democratic,Left-wing,1,1,1,25,1,32.0
Democratic,Left-wing,1,1,1,35,1,41.0
Democratic,Left-wing,1,1,1,33,1,23.0
Democratic,Left-wing,1,1,1,36,1,23.0
Democratic,Left-wing,1,1,1,23,1,29.0
Independent,Left-wing,1,1,1,30,1,29.0
Democratic,Left-wing,1,1,0,32,0,69.0
Democratic,Left-wing,1,1,1,32,1,28.0
Democratic,Centrist,0,0,1,34,0,59.0
Democratic,Left-wing,1,1,1,34,1,41.0
Independent,Centrist,1,0,0,35,0,23.0
Independent,Left-wing,1,1,1,37,1,34.0
Independent,Centrist,1,1,1,30,1,49.0
Democratic,Left-wing,1,1,1,35,1,51.0
Independent,Centrist,1,1,1,23,1,38.0
Republican,Right-wing,0,1,0,23,0,31.0
Democratic,Left-wing,1,1,1,27,1,37.0
Independent,Centrist,1,1,1,30,1,35.0
Republican,Right-wing,0,0,0,18,0,47.0
Democratic,Left-wing,1,1,1,29,1,31.0
Democratic,Left-wing,1,1,1,24,1,29.0
Democratic,Left-wing,1,1,1,32,1,64.0
Democratic,Left-wing,1,1,1,34,1,32.0
Independent,Left-wing,1,1,1,20,1,43.0
Democratic,Left-wing,1,1,1,31,1,23.0
Independent,Right-wing,0,0,0,30,0,53.0
Democratic,Centrist,1,1,1,26,1,46.0
Democratic,Left-wing,1,1,1,27,1,42.0
Democratic,Left-wing,1,1,1,37,1,38.0
Independent,Centrist,1,1,1,36,1,57.0
Independent,Left-wing,1,1,1,21,1,52.0
Independent,Centrist,1,1,1,24,1,52.0
Democratic,Left-wing,1,0,1,50,0,51.0
Democratic,Left-wing,1,0,1,39,0,58.0
Democratic,Left-wing,1,1,1,27,1,35.0
Independent,Centrist,1,1,1,23,1,21.0
Democratic,Left-wing,1,1,1,32,1,21.0
Democratic,Left-wing,1,1,1,18,1,29.0
Independent,Centrist,1,1,1,24,1,54.0
Democratic,Left-wing,1,1,1,35,1,25.0
Democratic,Left-wing,1,1,1,40,1,52.0
Democratic,Left-wing,1,1,1,42,1,20.0
Democratic,Left-wing,1,1,1,27,1,29.0
Independent,Centrist,1,1,1,30,1,42.0
Republican,Right-wing,0,0,1,26,0,37.0
Democratic,Left-wing,1,1,1,27,1,37.0
Democratic,Left-wing,1,1,1,26,1,25.0
Democratic,Left-wing,1,1,1,32,1,21.0
Democratic,Left-wing,1,1,1,37,1,57.0
Democratic,Left-wing,1,1,1,38,1,31.0
Democratic,Left-wing,1,1,1,38,1,58.0
Democratic,Left-wing,1,1,1,21,1,29.0
Democratic,Left-wing,1,1,1,40,1,38.0
Democratic,Left-wing,1,1,1,31,1,69.0
Democratic,Left-wing,1,1,1,24,1,47.0
Independent,Left-wing,0,1,1,23,0,57.0
Democratic,Left-wing,1,1,1,28,1,37.0
Independent,Right-wing,0,0,0,21,0,59.0
Democratic,Left-wing,1,1,1,41,1,23.0
Democratic,Left-wing,1,1,1,24,1,46.0
Republican,Centrist,0,0,0,26,0,68.0
Republican,Right-wing,1,0,1,17,0,59.0
Democratic,Left-wing,1,1,1,37,1,42.0
Republican,Right-wing,0,0,0,22,0,41.0
Democratic,Centrist,1,0,1,24,0,56.0
Democratic,Centrist,1,0,0,42,0,58.0
Independent,Left-wing,1,1,1,24,1,34.0
Democratic,Left-wing,1,1,1,27,1,41.0
Republican,Right-wing,0,0,1,59,0,28.0
Independent,Centrist,0,0,1,25,0,44.0
Democratic,Left-wing,1,1,1,34,1,55.0
Republican,Right-wing,1,1,1,27,1,28.0
Democratic,Left-wing,1,1,1,39,1,32.0
Democratic,Centrist,0,1,0,26,0,23.0
Republican,Right-wing,0,0,0,28,0,22.0
Independent,Centrist,1,1,0,21,0,36.0
Republican,Right-wing,1,0,1,35,0,40.0
Independent,Left-wing,1,1,1,41,1,32.0
Republican,Right-wing,0,0,0,21,0,51.0
Republican,Right-wing,1,0,1,36,0,24.0
Republican,Right-wing,1,1,1,30,1,49.0
Republican,Centrist,1,1,1,23,1,60.0
Democratic,Left-wing,1,1,1,26,1,37.0
Republican,Right-wing,1,0,1,25,0,51.0
Independent,Right-wing,0,1,1,28,0,43.0
Democratic,Left-wing,1,1,1,35,1,26.0
Republican,Right-wing,0,0,1,39,0,59.0
Republican,Right-wing,1,0,1,25,0,41.0
Republican,Right-wing,0,0,0,30,0,65.0
Independent,Left-wing,1,1,1,27,1,40.0
Republican,Right-wing,0,0,1,27,0,67.0
Republican,Right-wing,0,0,0,32,0,39.0
Democratic,Right-wing,0,1,1,45,0,28.0
Democratic,Left-wing,1,1,1,48,1,50.0
Democratic,Right-wing,1,1,1,29,1,25.0
Independent,Centrist,0,0,0,42,0,61.0
Democratic,Left-wing,1,1,1,22,1,62.0
Republican,Right-wing,0,0,0,25,0,55.0
Independent,Centrist,0,0,1,33,0,64.0
Republican,Right-wing,1,0,0,23,0,55.0
Republican,Right-wing,1,0,0,28,0,45.0
Republican,Right-wing,1,0,1,19,0,32.0
Republican,Right-wing,0,0,0,18,0,62.0
Republican,Right-wing,1,1,0,35,0,28.0
Republican,Right-wing,0,0,0,35,0,41.0
Republican,Right-wing,1,1,1,24,1,49.0
Republican,Right-wing,0,0,0,29,0,32.0
Republican,Right-wing,0,0,1,49,0,27.0
Republican,Right-wing,1,0,1,33,0,20.0
Independent,Left-wing,1,1,1,35,1,26.0
Independent,Right-wing,0,0,0,22,0,28.0
Independent,Right-wing,0,0,0,29,0,41.0
Democratic,Left-wing,1,1,1,29,1,28.0
Independent,Left-wing,1,1,1,24,1,24.0
Republican,Right-wing,0,0,0,28,0,70.0
Republican,Right-wing,0,1,0,39,0,33.0
Republican,Right-wing,0,0,0,27,0,51.0
Democratic,Left-wing,1,1,1,40,1,34.0
Democratic,Left-wing,1,1,1,30,1,37.0
Independent,Left-wing,1,1,1,36,1,30.0
Republican,Right-wing,0,0,1,31,0,21.0
Democratic,Left-wing,1,1,1,29,1,29.0
Democratic,Left-wing,1,1,1,32,1,33.0
Democratic,Left-wing,1,1,1,34,1,43.0
Libertarian,Centrist,1,0,1,30,0,29.0
Democratic,Left-wing,1,1,1,27,1,51.0
Democratic,Left-wing,1,1,1,30,1,43.0
Republican,Centrist,0,0,0,38,0,27.0
Democratic,Left-wing,1,1,1,35,1,38.0
Democratic,Left-wing,1,1,1,30,1,24.0
Democratic,Left-wing,1,1,1,30,1,39.0
Democratic,Left-wing,1,1,1,21,1,61.0
Democratic,Centrist,1,1,1,32,1,23.0
Libertarian,Right-wing,0,0,0,22,0,32.0
Democratic,Centrist,1,1,1,25,1,51.0
Republican,Right-wing,1,0,1,35,0,29.0
Democratic,Left-wing,1,1,1,25,1,21.0
Democratic,Left-wing,1,1,1,39,1,24.0
Independent,Left-wing,1,1,1,38,1,49.0
Republican,Right-wing,1,1,1,25,1,25.0
Democratic,Centrist,1,1,1,18,1,31.0
Democratic,Left-wing,1,1,1,37,1,22.0
Independent,Centrist,1,1,0,23,0,40.0
Independent,Centrist,1,0,1,36,0,64.0
Democratic,Left-wing,1,1,1,20,1,56.0
Democratic,Left-wing,1,1,1,25,1,58.0
Democratic,Left-wing,1,0,1,35,0,32.0
Democratic,Centrist,0,0,0,24,0,30.0
Democratic,Left-wing,1,1,1,34,1,45.0
Independent,Left-wing,1,1,1,27,1,35.0
Independent,Left-wing,1,1,1,26,1,33.0
Democratic,Left-wing,1,1,1,22,1,21.0
Republican,Centrist,1,1,1,18,1,44.0
Democratic,Left-wing,1,1,1,34,1,28.0
Independent,Centrist,1,0,1,19,0,32.0
Democratic,Left-wing,1,1,1,25,1,53.0
Democratic,Left-wing,1,1,1,37,1,26.0
Democratic,Left-wing,1,1,1,31,1,29.0
Communist,Left-wing,1,1,1,33,1,22.0
Democratic,Left-wing,1,1,1,32,1,27.0
Democratic,Left-wing,1,1,1,37,1,35.0
Independent,Centrist,1,1,0,40,0,22.0
Independent,Centrist,0,0,1,25,0,32.0
Democratic,Left-wing,1,1,0,23,0,43.0
Democratic,Left-wing,1,1,1,33,1,34.0
Democratic,Left-wing,1,1,1,37,1,41.0
Democratic,Left-wing,1,1,1,28,1,23.0
Democratic,Centrist,1,1,1,25,1,36.0
Democratic,Left-wing,1,1,1,26,1,30.0
Republican,Centrist,1,0,1,35,0,53.0
Independent,Centrist,1,0,1,30,0,21.0
Democratic,Left-wing,1,1,1,33,1,23.0
Democratic,Left-wing,1,1,1,37,1,27.0
Democratic,Left-wing,1,1,1,34,1,34.0
Independent,Left-wing,1,1,1,17,1,38.0
Democratic,Left-wing,1,1,1,31,1,28.0
Democratic,Left-wing,1,1,1,24,1,33.0
Republican,Right-wing,0,0,1,34,0,24.0
Independent,Left-wing,1,1,1,30,1,24.0
Democratic,Left-wing,1,1,1,28,1,29.0
Democratic,Left-wing,1,1,1,30,1,52.0
Democratic,Left-wing,1,1,1,33,1,36.0
Republican,Centrist,0,0,1,20,0,55.0
Republican,Right-wing,1,1,1,34,1,38.0
Democratic,Left-wing,1,1,0,24,0,33.0
Independent,Left-wing,1,1,1,19,1,39.0
Independent,Left-wing,1,1,1,25,1,25.0
Republican,Right-wing,1,1,1,30,1,49.0
Democratic,Centrist,1,1,1,23,1,41.0
Independent,Centrist,1,1,1,26,1,44.0
Democratic,Left-wing,1,1,1,40,1,20.0
Democratic,Left-wing,1,1,1,31,1,25.0
Democratic,Left-wing,1,1,1,36,1,36.0
Democratic,Left-wing,1,1,1,30,1,38.0
Democratic,Left-wing,1,0,1,45,0,25.0
Republican,Centrist,1,0,0,26,0,67.0
Libertarian,Left-wing,1,1,1,22,1,23.0
Democratic,Left-wing,1,1,1,34,1,36.0
Democratic,Left-wing,1,1,1,27,1,41.0
Independent,Centrist,1,1,1,29,1,60.0
Democratic,Left-wing,1,1,1,23,1,52.0
Democratic,Left-wing,1,0,1,27,0,31.0
Independent,Left-wing,1,0,0,22,0,35.0
Republican,Right-wing,0,0,0,20,0,30.0
Independent,Left-wing,1,1,1,26,1,29.0
Democratic,Left-wing,1,1,1,32,1,28.0
Independent,Centrist,1,1,1,18,1,50.0
Democratic,Left-wing,1,1,1,38,1,34.0
Democratic,Left-wing,1,1,1,31,1,33.0
Independent,Left-wing,1,1,1,23,1,72.0
Democratic,Left-wing,1,1,1,27,1,30.0
Democratic,Left-wing,1,1,1,26,1,47.0
Democratic,Left-wing,1,1,1,28,1,37.0
Republican,Right-wing,0,0,1,64,0,31.0
Democratic,Left-wing,1,1,1,38,1,42.0
Republican,Right-wing,0,0,0,22,0,58.0
Republican,Centrist,0,0,0,26,0,51.0
Republican,Right-wing,1,0,1,30,0,34.0
Republican,Right-wing,0,0,1,20,0,62.0
Republican,Right-wing,0,0,0,30,0,48.0
Democratic,Left-wing,1,1,1,31,1,44.0
Democratic,Right-wing,1,1,1,20,1,21.0
Democratic,Centrist,0,0,0,23,0,24.0
Republican,Right-wing,1,0,1,30,0,32.0
Independent,Centrist,1,1,1,21,1,48.0
Democratic,Left-wing,1,1,1,28,1,48.0
Independent,Centrist,1,0,1,22,0,36.0
Democratic,Left-wing,1,1,1,38,1,61.0
Independent,Left-wing,1,1,1,36,1,26.0
Democratic,Left-wing,1,1,1,35,1,29.0
Independent,Centrist,0,0,0,32,0,58.0
Democratic,Left-wing,1,1,1,29,1,21.0
Democratic,Left-wing,1,1,1,31,1,28.0
Democratic,Left-wing,1,1,1,50,1,51.0
Democratic,Left-wing,1,1,1,36,1,76.0
Independent,Centrist,1,1,1,23,1,57.0
Democratic,Left-wing,1,1,0,25,0,42.0
Independent,Left-wing,1,0,1,27,0,34.0
Democratic,Left-wing,1,1,1,35,1,61.0
Democratic,Left-wing,1,1,1,33,1,21.0
Independent,Centrist,1,0,1,35,0,46.0
Democratic,Left-wing,0,0,1,22,0,36.0
Democratic,Left-wing,1,1,1,38,1,24.0
Democratic,Left-wing,1,1,1,35,1,23.0
Independent,Centrist,0,0,0,41,0,20.0
Democratic,Left-wing,1,1,1,35,1,67.0
Democratic,Left-wing,1,1,1,25,1,30.0
Democratic,Left-wing,1,1,1,40,1,68.0
Democratic,Left-wing,1,0,1,39,0,42.0
Democratic,Left-wing,1,1,1,43,1,45.0
Democratic,Left-wing,1,1,1,23,1,37.0
Republican,Right-wing,0,0,0,27,0,36.0
Independent,Centrist,1,1,1,26,1,58.0
Democratic,Left-wing,1,1,1,18,1,31.0
Democratic,Left-wing,1,1,1,25,1,53.0
Democratic,Left-wing,1,1,1,30,1,63.0
Democratic,Left-wing,1,1,1,32,1,34.0
Independent,Centrist,1,1,1,37,1,37.0
No party allegiance,Left-wing,1,1,1,33,1,32.0
Democratic,Left-wing,1,1,1,27,1,50.0
Independent,Left-wing,1,1,1,50,1,57.0
Independent,Centrist,0,0,1,34,0,61.0
Democratic,Left-wing,1,1,1,36,1,68.0
Democratic,Left-wing,1,1,1,20,1,61.0
Democratic,Left-wing,1,1,1,30,1,70.0
Democratic,Left-wing,1,1,1,22,1,27.0
Democratic,Left-wing,1,1,1,28,1,28.0
Democratic,Left-wing,1,1,1,35,1,33.0
Democratic,Left-wing,1,1,1,31,1,25.0
Libertarian,Centrist,1,0,0,28,0,40.0
Democratic,Left-wing,1,1,1,28,1,37.0
Democratic,Left-wing,1,1,1,39,1,42.0
Democratic,Left-wing,1,1,1,27,1,45.0
Independent,Left-wing,1,1,1,39,1,38.0
Republican,Centrist,0,0,0,24,0,38.0
Independent,Left-wing,1,0,1,30,0,39.0
Democratic,Left-wing,1,1,1,25,1,30.0
Democratic,Right-wing,1,1,1,27,1,23.0
Democratic,Left-wing,1,1,1,40,1,20.0
Democratic,Left-wing,1,1,1,50,1,37.0
Independent,Centrist,1,1,1,29,1,32.0
Democratic,Left-wing,1,1,1,34,1,35.0
Democratic,Left-wing,1,1,1,20,1,50.0
Libertarian,Centrist,1,0,1,32,0,29.0
Democratic,Left-wing,1,1,1,30,1,27.0
Democratic,Left-wing,1,1,1,33,1,31.0
Republican,Right-wing,0,0,0,23,0,35.0
Democratic,Left-wing,1,1,1,21,1,34.0
Democratic,Left-wing,1,1,1,20,1,50.0
Democratic,Left-wing,1,1,1,22,1,24.0
Democratic,Centrist,1,0,0,23,0,51.0
Independent,Centrist,0,0,1,22,0,54.0
Independent,Centrist,1,0,1,32,0,37.0
Democratic,Left-wing,1,1,1,26,1,22.0
Libertarian,Centrist,1,0,0,29,0,60.0
Democratic,Left-wing,1,1,1,32,1,22.0
Independent,Centrist,1,0,0,39,0,23.0
Democratic,Left-wing,1,1,1,28,1,25.0
Democratic,Left-wing,1,1,1,30,1,27.0
Democratic,Left-wing,1,1,1,24,1,50.0
Democratic,Left-wing,1,1,1,23,1,27.0
Democratic,Centrist,1,1,1,38,1,54.0
Democratic,Centrist,1,0,1,34,0,34.0
Democratic,Centrist,1,1,1,35,1,42.0
Democratic,Left-wing,1,1,1,18,1,24.0
Green,Left-wing,1,1,1,43,1,34.0
Democratic,Left-wing,1,1,1,25,1,23.0
Independent,Centrist,0,0,0,39,0,34.0
Democratic,Left-wing,1,1,1,32,1,27.0
Republican,Centrist,1,1,1,25,1,42.0
Republican,Right-wing,1,0,0,36,0,35.0
Independent,Centrist,0,0,0,20,0,29.0
Democratic,Left-wing,1,1,1,26,1,75.0
Independent,Left-wing,1,1,1,32,1,44.0
Democratic,Left-wing,1,1,1,35,1,50.0
Democratic,Left-wing,1,1,1,29,1,21.0
Democratic,Left-wing,1,1,1,34,1,34.0
Independent,Left-wing,1,0,1,26,0,34.0
Independent,Centrist,0,0,1,35,0,51.0
Democratic,Left-wing,1,1,1,21,1,39.0
Democratic,Left-wing,1,1,1,28,1,31.0
Independent,Left-wing,1,1,0,31,0,29.0
Democratic,Left-wing,1,1,1,19,1,52.0
Independent,Centrist,1,1,0,24,0,41.0
Democratic,Left-wing,1,1,1,30,1,43.0
Democratic,Centrist,1,1,1,30,1,32.0
Republican,Right-wing,1,1,1,40,1,26.0
Democratic,Left-wing,1,1,1,30,1,24.0
Independent,Right-wing,0,0,0,25,0,36.0
Democratic,Left-wing,1,1,1,40,1,28.0
Democratic,Left-wing,1,1,1,26,1,56.0
Democratic,Left-wing,1,1,1,27,1,64.0
Independent,Centrist,1,0,1,30,0,57.0
Democratic,Left-wing,1,1,1,17,1,27.0
Independent,Left-wing,1,1,1,19,1,26.0
Democratic,Left-wing,1,1,1,35,1,21.0
Non Political,Centrist,1,1,1,24,1,58.0
Democratic,Left-wing,1,1,1,37,1,52.0
Democratic,Left-wing,1,1,1,31,1,24.0
Independent,Centrist,0,0,1,32,0,29.0
Democratic,Left-wing,1,1,1,35,1,27.0
Independent,Centrist,0,0,0,21,0,29.0
Republican,Right-wing,0,0,0,35,0,41.0
Independent,Left-wing,1,1,1,31,1,57.0
Democratic,Left-wing,0,0,0,33,0,46.0
Republican,Right-wing,0,0,0,29,0,59.0
Republican,Right-wing,0,1,0,22,0,32.0
Republican,Right-wing,0,0,0,23,0,44.0
Republican,Right-wing,0,0,0,28,0,45.0
Republican,Right-wing,0,0,0,27,0,48.0
Republican,Right-wing,0,0,0,39,0,32.0
Independent,Centrist,1,1,1,23,1,61.0
Republican,Right-wing,1,1,1,26,1,52.0
Independent,Centrist,0,0,1,43,0,21.0
Democratic,Centrist,1,0,1,33,0,62.0
Independent,Centrist,0,0,0,35,0,49.0
Republican,Right-wing,0,0,0,30,0,62.0
Democratic,Left-wing,1,1,1,19,1,20.0
Democratic,Left-wing,1,0,1,34,0,56.0
Unaffiliated,Centrist,1,1,1,28,1,35.0
Independent,Centrist,1,1,1,31,1,35.0
Independent,Centrist,1,1,0,31,0,21.0
Republican,Right-wing,0,0,1,27,0,20.0
Democratic,Left-wing,1,1,1,34,1,37.0
Republican,Right-wing,1,0,1,25,0,62.0
Independent,Left-wing,0,1,1,26,0,50.0
Republican,Right-wing,0,0,0,31,0,24.0
Republican,Right-wing,1,1,1,34,1,31.0
Republican,Right-wing,0,0,0,40,0,40.0
Republican,Centrist,0,0,0,30,0,46.0
Democratic,Left-wing,1,0,1,33,0,63.0
Republican,Right-wing,1,0,0,31,0,33.0
Republican,Right-wing,0,0,1,18,0,30.0
Independent,Right-wing,0,0,0,33,0,21.0
Democratic,Left-wing,1,0,1,32,0,25.0
Democratic,Left-wing,1,1,1,25,1,32.0
Independent,Centrist,1,0,1,33,0,40.0
Democratic,Left-wing,1,1,1,34,1,24.0
Libertarian,Right-wing,0,0,0,46,0,45.0
Republican,Right-wing,0,0,0,25,0,51.0
Independent,Left-wing,1,0,1,38,0,24.0
Republican,Right-wing,1,1,0,23,0,61.0
Republican,Right-wing,0,0,0,21,0,38.0
Republican,Right-wing,1,1,1,26,1,25.0
Democratic,Centrist,1,1,1,21,1,47.0
Independent,Right-wing,0,0,0,37,0,33.0
Republican,Centrist,1,1,1,27,1,48.0
Republican,Right-wing,1,0,0,35,0,54.0
Independent,Right-wing,1,0,1,45,0,37.0
Republican,Right-wing,0,0,0,27,0,50.0
Republican,Right-wing,0,1,1,40,0,21.0
Independent,Centrist,1,0,0,29,0,68.0
Republican,Right-wing,0,0,0,20,0,52.0
Independent,Left-wing,1,1,1,18,1,24.0
Democratic,Centrist,1,1,0,21,0,32.0
Republican,Right-wing,0,0,0,33,0,34.0
Democratic,Left-wing,1,1,1,33,1,22.0
Democratic,Left-wing,1,1,1,26,1,31.0
Independent,Centrist,1,1,1,22,1,60.0
Republican,Right-wing,0,0,0,38,0,28.0
Republican,Centrist,1,1,1,37,1,26.0
Republican,Right-wing,0,0,0,35,0,32.0
Republican,Right-wing,0,0,0,34,0,32.0
Republican,Right-wing,1,0,0,29,0,41.0
Independent,Centrist,1,1,0,30,0,25.0
Republican,Right-wing,0,0,0,33,0,69.0
Republican,Centrist,1,0,1,28,0,50.0
Republican,Right-wing,0,0,0,26,0,28.0
Republican,Right-wing,0,0,1,32,0,21.0
Republican,Centrist,1,0,0,27,0,28.0
Republican,Right-wing,1,0,0,34,0,42.0
Independent,Centrist,1,1,1,20,1,70.0
Republican,Right-wing,0,1,0,25,0,45.0
Republican,Right-wing,0,0,1,32,0,33.0
Independent,Centrist,0,1,1,22,0,45.0
Republican,Right-wing,0,0,0,29,0,51.0
Republican,Right-wing,0,0,0,31,0,56.0
Republican,Right-wing,0,0,1,28,0,47.0
Democratic,Left-wing,1,1,1,35,1,21.0
Democratic,Left-wing,1,1,1,40,1,21.0
Republican,Right-wing,1,0,0,56,0,22.0
Independent,Right-wing,1,0,1,35,0,20.0
Independent,Right-wing,0,0,0,41,0,64.0
Democratic,Centrist,1,1,1,34,1,29.0
,Right-wing,0,0,0,26,0,44.0
Democratic,Left-wing,1,0,1,27,0,28.0
Republican,Right-wing,0,0,0,40,0,21.0
Republican,Right-wing,1,0,1,30,0,28.0
Republican,Right-wing,0,0,0,34,0,58.0
Democratic,Left-wing,1,1,1,36,1,25.0
Independent,Centrist,1,0,1,23,0,51.0
Independent,Centrist,0,0,0,33,0,25.0
Democratic,Left-wing,1,1,1,24,1,40.0
Republican,Right-wing,1,0,0,27,0,24.0
Republican,Right-wing,1,0,1,28,0,27.0
Democratic,Left-wing,0,1,1,26,0,74.0
Republican,Right-wing,0,0,0,34,0,32.0
Democratic,Left-wing,1,1,1,24,1,23.0
Democratic,Left-wing,1,1,1,36,1,44.0
Republican,Centrist,0,0,0,27,0,52.0
Democratic,Left-wing,1,1,1,26,1,38.0
Republican,Right-wing,0,0,0,21,0,41.0
Conservative ,Centrist,0,0,1,25,0,39.0
Democratic,Centrist,1,1,1,30,1,28.0
Democratic,Left-wing,1,1,1,37,1,22.0
Republican,Right-wing,0,0,0,37,0,30.0
Republican,Right-wing,1,0,0,33,0,40.0
Republican,Right-wing,1,0,1,29,0,22.0
Independent,Right-wing,1,0,1,30,0,21.0
Republican,Right-wing,0,0,0,29,0,36.0
Democratic,Left-wing,1,1,1,19,1,43.0
Democratic,Left-wing,1,1,1,47,1,21.0
Republican,Right-wing,1,0,1,24,0,57.0
Republican,Right-wing,0,0,1,20,0,45.0
Republican,Right-wing,0,0,0,30,0,35.0
Republican,Right-wing,0,0,0,32,0,61.0
Republican,Right-wing,0,0,0,17,0,58.0
Republican,Right-wing,0,0,0,30,0,37.0
Democratic,Centrist,1,1,1,30,1,53.0
Republican,Right-wing,0,0,0,24,0,51.0
Republican,Centrist,0,0,0,25,0,54.0
Republican,Right-wing,0,0,0,29,0,46.0
